70%,80%,90%,95%,99%,Avg Sentence Length,Median Sentence Length,Mode Sentence Length,Avg Verb Count,Avg Auxiliary Verb Count,Label,Comment
538.00,1804.00,6003.60,14281.00,61791.04,13.97,13.00,17.00,2.19,1.51,easy-medium,世にも奇妙な商品カタログ01
499.00,1808.00,6179.00,15016.00,47087.00,14.81,14.00,13.00,2.37,1.63,easy-medium,世にも奇妙な商品カタログ02
446.00,1485.00,4823.40,11941.40,44312.76,12.81,12.00,11.00,2.02,1.42,easy-medium,世にも奇妙な商品カタログ03
495.00,1603.00,5253.00,12777.00,40825.10,13.02,13.00,10.00,2.11,1.45,easy-medium,世にも奇妙な商品カタログ04
369.00,1340.40,4752.00,13464.00,58903.00,13.00,13.00,17.00,1.99,1.56,easy-medium,世にも奇妙な商品カタログ05
333.00,1280.00,5258.00,13112.00,45857.00,12.68,12.00,12.00,2.02,1.49,easy-medium,世にも奇妙な商品カタログ06
492.00,1425.00,5550.00,13032.00,56983.00,12.40,12.00,12.00,1.95,1.43,easy-medium,世にも奇妙な商品カタログ07
452.00,1475.80,5439.00,13172.00,52723.00,12.45,12.00,13.00,1.94,1.39,easy-medium,世にも奇妙な商品カタログ08
399.00,1274.40,5068.00,11194.70,38848.83,13.18,13.00,13.00,2.08,1.46,easy-medium,世にも奇妙な商品カタログ09
492.00,1749.00,5984.00,14731.95,58243.00,12.83,13.00,14.00,2.07,1.50,easy-medium,世にも奇妙な商品カタログ10
420.00,1485.00,6165.30,15750.00,45715.39,13.36,13.00,16.00,2.24,1.57,easy-medium,世にも奇妙な商品カタログ11
481.00,1477.00,4891.00,11714.00,38719.04,14.47,13.00,1.00,2.26,1.82,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する01
458.00,1517.60,5113.90,12806.00,40310.00,13.94,12.00,1.00,2.19,1.61,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する02
481.00,1556.00,5662.00,14256.80,38930.66,14.63,13.00,1.00,2.27,1.70,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する03
416.00,1339.00,5087.00,11604.80,35344.00,14.37,12.00,1.00,2.27,1.67,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する04
414.00,1352.00,5604.00,11937.00,36096.00,13.44,11.00,1.00,2.15,1.61,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する05
481.00,1795.00,6509.00,16424.85,54776.00,13.95,11.50,1.00,2.20,1.66,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する06
420.00,1392.00,5305.00,12806.00,45911.47,14.00,12.00,1.00,2.20,1.63,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する07
433.00,1524.00,5212.00,11881.00,38505.20,14.46,12.00,1.00,2.26,1.67,easy-medium,異世界でチート能力を手にした俺は、現実世界をも無双する08
